tag
adjective
adverb
auxiliary adjective
auxiliary verb
colloquial
computing
conjunction
counter
derogatory
expression
familiar language
female term
formal
godan verb
honorific
humble
ichidan verb
idiom
intransitive verb
kana
male term
military
mimetic
n1
n2
n3
n4
n5
noun
numeric
particle
polite
pre-noun adjectival
prefix
pronoun
sensitive
slang
suffix
taking する
taking と
taking の
transitive verb
い adjective
な adjective
